source_column,source_name,clean_name,label,question_en,question_ne,form_type,relevant
126,q5_6_3,q5_6_3,South Asia stability risk: Political exclusion,5.6.3 Political exclusion of certain groups poses a great risk to political stability in South Asia.,५.६.३ सरकारी संयत्रमा समावेशिताको कमिले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
127,q5_6_4,q5_6_4,South Asia stability risk: Rising cost of living,5.6.4 Rising cost of living poses a great risk to political stability in South Asia.,५.६.४ बढ्दो महंगीले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
128,q5_6_5,q5_6_5,South Asia stability risk: Social media misinformation,5.6.5 Misinformation through social media poses a great risk to political stability in South Asia.,५.६.५ सामाजिक सञ्जालमार्फत फैलिने गलत/मिथ्य/भ्रामक  सूचनाले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ ।,select_one agree5,
129,q5_6_6,q5_6_6,South Asia stability risk: Foreign/external influence,5.6.6 Influence of foreign/external forces poses a great risk to political stability in South Asia.,५.६.६ विदेशी/बाह्य शक्तिको प्रभावले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
130,q5_6_7,q5_6_7,South Asia stability risk: Ethnic/religious conflict,5.6.7 Ethnic or religious tension/conflict poses a great risk to political stability in South Asia.,५.६.७ जातीय वा धार्मिक तनाव/द्वन्द्वले भविष्यमा दक्षिण एसियाली क्षेत्रको राजनीतिक स्थिरतामा ठूलो जोखिम निम्त्याउन सक्छ,select_one agree5,
132,q5_7_1,q5_7_1,South Asia hope: Governance/anti-corruption reforms,5.7.1 I am hopeful for South Asia’s future because South Asian countries have adopted better governance and anti-corruption reforms.,५.७.१ दक्षिण एसियाली देशहरूले सुशासन र भ्रष्टाचारविरोधी सुधारहरू अपनाएकाले म दक्षिण एसियाली क्षेत्रको भविष्यप्रति आशावादी छु।,select_one agree5,
133,q5_7_2,q5_7_2,South Asia hope: Youth political participation,5.7.2 I am hopeful about South Asia’s future because of greater youth participation in politics in South Asia.,५.७.२ दक्षिण एसियाली राजनीतिमा युवाहरूको बढ्दो सहभागिताका कारण म दक्षिण एसियाली क्षेत्रको भविष्यप्रति आशावादी छु।,select_one agree5,
134,q5_7_3,q5_7_3,South Asia hope: Improved democracy,5.7.3 I am hopeful about South Asia’s future because of the state of the democracy has improved in South Asia.,५.७.३ दक्षिण एसियामा लोकतन्त्रको अवस्था सुधार भएकाले म दक्षिण एसियाली क्षेत्रको भविष्यप्रति आशावादी छु।,select_one agree5,
135,q5_7_4,q5_7_4,South Asia hope: Economic/employment prospects,5.7.4  I am hopeful about South Asia’s future because economic and employment prospect is in increasing trend.,५.७.४ आर्थिक तथा रोजगारीका सम्भावना बढ्दो क्रममा रहेकाले म दक्षिण एसियाली क्षेत्रको भविष्यप्रति आशावादी छु।,select_one agree5,
137,Record_your_current_location,gps_raw,Original GPS point: latitude longitude altitude accuracy,Record your current location,Location,geopoint,${consent_agree} = '1'
138,_Record_your_current_location_latitude,gps_latitude,GPS latitude (decimal degrees),_Record_your_current_location_latitude,,metadata,
139,_Record_your_current_location_longitude,gps_longitude,GPS longitude (decimal degrees),_Record_your_current_location_longitude,,metadata,
140,_Record_your_current_location_altitude,gps_altitude,GPS altitude (metres),_Record_your_current_location_altitude,,metadata,
141,_Record_your_current_location_precision,gps_accuracy,GPS horizontal accuracy (metres),_Record_your_current_location_precision,,metadata,
145,_id,submission_id,Submission ID (Kobo),_id,,metadata,
146,_uuid,submission_uuid,Submission UUID (Kobo),_uuid,,metadata,
147,_submission_time,submission_datetime_raw,"Submission date and time: source value, timezone unspecified",_submission_time,,metadata,
148,_validation_status,validation_status,Submission validation status,_validation_status,,metadata,
149,_notes,submission_notes,Submission notes,_notes,,metadata,
150,_status,submission_status,Submission status,_status,,metadata,
151,_submitted_by,submitted_by,Account submitting the response,_submitted_by,,metadata,
152,__version__,form_version,Form version identifier,__version__,,metadata,
153,_tags,submission_tags,Submission tags,_tags,,metadata,
154,meta/rootUuid,root_uuid,Root submission UUID,meta/rootUuid,,metadata,
155,_index,source_index,Original export row index,_index,,metadata,
